scenario,p_overlap,corr_type,instance_file,n,obj_disjoint,obj_overlap,runtime
scenario 1,p_20,correlated,scen_1id_10_objs_1000_size_1550_sets_89_k_18_overlap_20_correlated.txt,1000,3057.00,,3.66
scenario 1,p_20,correlated,scen_1id_10_objs_300_size_465_sets_77_k_20_overlap_20_correlated.txt,300,1076.00,,0.27
scenario 1,p_20,correlated,scen_1id_10_objs_500_size_775_sets_83_k_20_overlap_20_correlated.txt,500,1570.00,,0.58
scenario 1,p_20,correlated,scen_1id_10_objs_700_size_1085_sets_91_k_20_overlap_20_correlated.txt,700,2229.00,,1.80
scenario 1,p_20,correlated,scen_1id_10_objs_800_size_1240_sets_94_k_18_overlap_20_correlated.txt,800,2403.00,,2.31
scenario 1,p_20,correlated,scen_1id_1_objs_1000_size_1550_sets_89_k_18_overlap_20_correlated.txt,1000,3155.00,,3.75
scenario 1,p_20,correlated,scen_1id_1_objs_300_size_465_sets_74_k_20_overlap_20_correlated.txt,300,1022.00,,0.27
scenario 1,p_20,correlated,scen_1id_1_objs_500_size_775_sets_78_k_20_overlap_20_correlated.txt,500,1580.00,,0.77
scenario 1,p_20,correlated,scen_1id_1_objs_700_size_1085_sets_82_k_20_overlap_20_correlated.txt,700,2191.00,,1.65
scenario 1,p_20,correlated,scen_1id_1_objs_800_size_1240_sets_93_k_18_overlap_20_correlated.txt,800,2536.00,,1.76
scenario 1,p_20,correlated,scen_1id_2_objs_1000_size_1550_sets_96_k_18_overlap_20_correlated.txt,1000,3173.00,,3.40
scenario 1,p_20,correlated,scen_1id_2_objs_300_size_465_sets_79_k_20_overlap_20_correlated.txt,300,1051.00,,0.28
scenario 1,p_20,correlated,scen_1id_2_objs_500_size_775_sets_83_k_20_overlap_20_correlated.txt,500,1593.00,,0.83
scenario 1,p_20,correlated,scen_1id_2_objs_700_size_1085_sets_102_k_20_overlap_20_correlated.txt,700,2203.00,,1.54
scenario 1,p_20,correlated,scen_1id_2_objs_800_size_1240_sets_100_k_18_overlap_20_correlated.txt,800,2507.00,,1.67
scenario 1,p_20,correlated,scen_1id_3_objs_1000_size_1550_sets_89_k_18_overlap_20_correlated.txt,1000,3098.00,,3.76
scenario 1,p_20,correlated,scen_1id_3_objs_300_size_465_sets_76_k_20_overlap_20_correlated.txt,300,1043.00,,0.28
scenario 1,p_20,correlated,scen_1id_3_objs_500_size_775_sets_84_k_20_overlap_20_correlated.txt,500,1595.00,,0.60
scenario 1,p_20,correlated,scen_1id_3_objs_700_size_1085_sets_86_k_20_overlap_20_correlated.txt,700,2185.00,,2.00
scenario 1,p_20,correlated,scen_1id_3_objs_800_size_1240_sets_92_k_18_overlap_20_correlated.txt,800,2456.00,,2.29
scenario 1,p_20,correlated,scen_1id_4_objs_1000_size_1550_sets_90_k_18_overlap_20_correlated.txt,1000,3131.00,,3.85
scenario 1,p_20,correlated,scen_1id_4_objs_300_size_465_sets_78_k_20_overlap_20_correlated.txt,300,986.00,,0.21
scenario 1,p_20,correlated,scen_1id_4_objs_500_size_775_sets_81_k_20_overlap_20_correlated.txt,500,1692.00,,0.53
scenario 1,p_20,correlated,scen_1id_4_objs_700_size_1085_sets_82_k_20_overlap_20_correlated.txt,700,2217.00,,1.74
scenario 1,p_20,correlated,scen_1id_4_objs_800_size_1240_sets_99_k_18_overlap_20_correlated.txt,800,2520.00,,2.48
scenario 1,p_20,correlated,scen_1id_5_objs_1000_size_1550_sets_84_k_18_overlap_20_correlated.txt,1000,3158.00,,4.09
scenario 1,p_20,correlated,scen_1id_5_objs_300_size_465_sets_75_k_20_overlap_20_correlated.txt,300,1063.00,,0.34
scenario 1,p_20,correlated,scen_1id_5_objs_500_size_775_sets_83_k_20_overlap_20_correlated.txt,500,1655.00,,0.71
scenario 1,p_20,correlated,scen_1id_5_objs_700_size_1085_sets_80_k_20_overlap_20_correlated.txt,700,2335.00,,1.32
scenario 1,p_20,correlated,scen_1id_5_objs_800_size_1240_sets_91_k_18_overlap_20_correlated.txt,800,2422.00,,2.08
